open;close;high;low;ask;bid;volume
1.6318;1.6339;1.637;1.6288;1.6331;1.6328;3874
1.6328;1.6313;1.639;1.629;1.6325;1.6322;5745
1.6322;1.6315;1.6335;1.6194;1.6313;1.631;7297
1.631;1.6262;1.636;1.6235;1.6224;1.6221;5161
1.6221;1.6217;1.626;1.6152;1.6232;1.6229;6374
1.6229;1.6214;1.631;1.62;1.6216;1.6213;6826
1.6213;1.6333;1.6362;1.621;1.6328;1.6325;5294
1.6325;1.6305;1.6355;1.6254;1.6298;1.6295;3408
1.6295;1.631;1.6344;1.626;1.6316;1.6313;4408
1.6313;1.629;1.634;1.6264;1.63;1.6297;1517
1.6297;1.6363;1.6397;1.626;1.6368;1.6365;7568
1.6365;1.6315;1.6455;1.6277;1.6313;1.631;8925
1.631;1.628;1.635;1.6207;1.6278;1.6275;6031
1.6275;1.631;1.6347;1.6228;1.6328;1.6325;6033
1.6325;1.6413;1.6432;1.627;1.641;1.6407;3683
1.6407;1.6387;1.6417;1.634;1.6398;1.6395;6627
1.6395;1.6388;1.6415;1.631;1.6389;1.6386;8055
1.6386;1.6373;1.651;1.6356;1.6375;1.6372;15130
1.6372;1.6352;1.6412;1.6315;1.6343;1.634;12820
1.634;1.6338;1.6397;1.6273;1.6345;1.6342;14230
1.6342;1.637;1.6392;1.63;1.6369;1.6366;11216
1.6366;1.629;1.64;1.625;1.6292;1.6289;15404
1.6289;1.6277;1.6355;1.6251;1.6278;1.6275;14695
1.6275;1.6324;1.6347;1.6251;1.6301;1.6298;13177
1.6298;1.6351;1.6382;1.626;1.6351;1.6348;11446
1.6348;1.6516;1.6561;1.6337;1.6515;1.6512;13278
1.6512;1.6679;1.6708;1.65;1.6685;1.6682;14412
1.6682;1.6722;1.6776;1.662;1.6717;1.6714;14488
1.6714;1.6748;1.6793;1.6671;1.6723;1.672;12137
1.672;1.675;1.6767;1.66;1.6751;1.6748;11658
1.6748;1.6681;1.6777;1.6608;1.668;1.6677;12125
1.6677;1.6683;1.6728;1.6628;1.6681;1.6678;12154
1.6678;1.6716;1.6755;1.6638;1.6712;1.6709;12214
1.6709;1.6619;1.6758;1.657;1.6602;1.6599;12123
1.6599;1.667;1.6703;1.65;1.6671;1.6668;11451
1.6668;1.6677;1.6731;1.6606;1.6676;1.6673;11538
1.6673;1.6603;1.6723;1.6557;1.6603;1.66;10567
1.66;1.6566;1.6637;1.6535;1.6588;1.6585;9700
1.6585;1.6475;1.6615;1.6446;1.6417;1.6414;9884
1.6414;1.638;1.65;1.6355;1.6383;1.638;10229
1.638;1.6375;1.6431;1.6326;1.6379;1.6376;9645
1.6376;1.6357;1.6408;1.6341;1.6356;1.6353;9290
1.6353;1.6317;1.641;1.6267;1.631;1.6307;9612
1.6307;1.6329;1.635;1.6281;1.6308;1.6305;8210
1.6305;1.6405;1.6455;1.6288;1.6409;1.6406;8786
1.6406;1.6348;1.6428;1.6325;1.6345;1.6342;8868
1.6342;1.635;1.642;1.63;1.6353;1.635;9243
1.635;1.64;1.6423;1.633;1.6403;1.64;8771
