open;close;high;low;ask;bid;volume
1.79;1.79;1.79;1.79;1.7573;1.757;1
1.757;1.757;1.757;1.757;1.7508;1.7505;1
1.7505;1.7505;1.7505;1.7505;1.7673;1.767;1
1.767;1.767;1.767;1.767;1.7749;1.7746;1
1.7746;1.7746;1.7746;1.7746;1.7973;1.797;1
1.797;1.797;1.797;1.797;1.8053;1.805;1
1.805;1.805;1.805;1.805;1.8123;1.812;1
1.812;1.812;1.812;1.812;1.8073;1.807;1
1.807;1.807;1.807;1.807;1.8158;1.8155;1
1.8155;1.8155;1.8155;1.8155;1.8223;1.822;1
1.822;1.822;1.822;1.822;1.8293;1.829;1
1.829;1.829;1.829;1.829;1.8193;1.819;1
1.819;1.819;1.819;1.819;1.8123;1.812;1
1.812;1.812;1.812;1.812;1.8338;1.8335;1
1.8335;1.8335;1.8335;1.8335;1.8408;1.8405;1
1.8405;1.8405;1.8405;1.8405;1.8513;1.851;1
1.851;1.851;1.851;1.851;1.8698;1.8695;1
1.8695;1.8695;1.8695;1.8695;1.8828;1.8825;1
1.8825;1.8825;1.8825;1.8825;1.9033;1.903;1
1.903;1.903;1.903;1.903;1.9323;1.932;1
1.932;1.932;1.932;1.932;1.9203;1.92;1
1.92;1.92;1.92;1.92;1.9373;1.937;1
1.937;1.937;1.937;1.937;1.9163;1.916;1
1.916;1.916;1.916;1.916;1.9443;1.944;1
1.944;1.944;1.944;1.944;1.9423;1.942;1
1.942;1.942;1.942;1.942;1.9413;1.941;1
1.941;1.941;1.941;1.941;1.9488;1.9485;1
1.9485;1.9485;1.9485;1.9485;1.9523;1.952;1
1.952;1.952;1.952;1.952;2.0178;2.0175;1
2.0175;2.0175;2.0175;2.0175;1.9958;1.9955;1
1.9955;1.9955;1.9955;1.9955;1.9883;1.988;1
1.988;1.988;1.988;1.988;1.9253;1.925;1
1.925;1.925;1.925;1.925;1.8853;1.885;1
1.885;1.885;1.885;1.885;1.9028;1.9025;1
1.9025;1.9025;1.9025;1.9025;1.9193;1.919;1
1.919;1.919;1.919;1.919;1.9168;1.9165;1
1.9165;1.9165;1.9165;1.9165;1.9483;1.948;1
1.948;1.948;1.948;1.948;1.9623;1.962;1
1.962;1.962;1.962;1.962;1.9828;1.9825;1
1.9825;1.9825;1.9825;1.9825;1.9713;1.971;1
1.971;1.971;1.971;1.971;1.9478;1.9475;1
1.9475;1.9475;1.9475;1.9475;1.9453;1.945;1
1.945;1.945;1.945;1.945;1.9578;1.9575;1
1.9575;1.9575;1.9575;1.9575;1.9293;1.929;1
1.929;1.929;1.929;1.929;1.9233;1.923;1
1.923;1.923;1.923;1.923;1.9373;1.937;1
1.937;1.937;1.937;1.937;1.9373;1.937;1
1.937;1.937;1.937;1.937;1.9273;1.927;1
1.927;1.927;1.927;1.927;1.9023;1.902;1
