open;close;high;low;ask;bid;volume
1.4382;1.4398;1.4421;1.4366;1.4398;1.4395;95
1.4395;1.4365;1.4418;1.4344;1.4364;1.4361;119
1.4361;1.4311;1.4369;1.4289;1.4311;1.4308;111
1.4308;1.4356;1.4363;1.43;1.4333;1.433;79
1.433;1.4343;1.4368;1.432;1.4343;1.434;84
1.434;1.4397;1.4414;1.4338;1.4398;1.4395;96
1.4395;1.4391;1.4418;1.4366;1.4391;1.4388;101
1.4388;1.437;1.4427;1.436;1.437;1.4367;117
1.4367;1.4372;1.4393;1.4329;1.4356;1.4353;124
1.4353;1.435;1.4374;1.4321;1.4345;1.4342;104
1.4342;1.4352;1.4373;1.43;1.4348;1.4345;137
1.4345;1.4452;1.4463;1.4324;1.4449;1.4446;172
1.4446;1.4468;1.4524;1.4442;1.4465;1.4462;143
1.4462;1.45;1.4525;1.446;1.4487;1.4484;93
1.4484;1.4487;1.4553;1.4472;1.4486;1.4483;160
1.4483;1.4484;1.4528;1.4449;1.4483;1.448;158
1.448;1.4482;1.4517;1.4465;1.4481;1.4478;103
1.4478;1.4498;1.4508;1.445;1.4495;1.4492;97
1.4492;1.4508;1.4528;1.4482;1.4492;1.4489;77
1.4489;1.4497;1.4515;1.4478;1.4494;1.4491;67
1.4491;1.4558;1.4571;1.4485;1.4554;1.4551;106
1.4551;1.4546;1.4581;1.4532;1.4543;1.454;94
1.454;1.4545;1.457;1.4528;1.4544;1.4541;80
1.4541;1.4571;1.4588;1.452;1.4568;1.4565;107
1.4565;1.4581;1.46;1.453;1.458;1.4577;125
1.4577;1.4501;1.4591;1.4492;1.4502;1.4499;123
1.4499;1.4537;1.455;1.449;1.4533;1.453;83
1.453;1.4552;1.4579;1.4528;1.4549;1.4546;81
1.4546;1.4581;1.4613;1.4543;1.4582;1.4579;106
1.4579;1.4577;1.4619;1.4568;1.4578;1.4575;101
1.4575;1.459;1.4615;1.4559;1.459;1.4587;98
1.4587;1.4664;1.4682;1.4575;1.4664;1.4661;138
1.4661;1.471;1.4723;1.4635;1.4706;1.4703;128
1.4703;1.4667;1.4708;1.4651;1.4674;1.4671;79
1.4671;1.4745;1.4761;1.467;1.4742;1.4739;109
1.4739;1.471;1.4768;1.4688;1.4707;1.4704;132
1.4704;1.4615;1.4709;1.46;1.4612;1.4609;130
1.4609;1.4719;1.4728;1.4597;1.4718;1.4715;153
1.4715;1.4716;1.4738;1.4666;1.4723;1.472;144
1.472;1.4714;1.476;1.4695;1.4713;1.471;125
1.471;1.4712;1.4741;1.468;1.4708;1.4705;121
1.4705;1.4698;1.4737;1.4663;1.4695;1.4692;142
1.4692;1.4666;1.4698;1.4638;1.4663;1.466;95
1.466;1.4691;1.4715;1.4645;1.4704;1.4701;110
1.4701;1.4709;1.4738;1.4678;1.4708;1.4705;113
1.4705;1.4673;1.4728;1.4654;1.4672;1.4669;117
1.4669;1.4632;1.47;1.461;1.4631;1.4628;144
1.4628;1.4677;1.4697;1.4602;1.4676;1.4673;142
1.4673;1.4682;1.4691;1.4631;1.4687;1.4684;112
1.4684;1.4732;1.4745;1.4675;1.4728;1.4725;93
1.4725;1.472;1.4745;1.4691;1.4713;1.471;104
1.471;1.472;1.4757;1.4705;1.472;1.4717;95
1.4717;1.4752;1.4782;1.4703;1.475;1.4747;124
1.4747;1.4785;1.4803;1.473;1.4803;1.48;109
1.48;1.4787;1.4819;1.4762;1.4781;1.4778;102
1.4778;1.4815;1.4824;1.4778;1.4812;1.4809;56
1.4809;1.4888;1.49;1.4794;1.4888;1.4885;134
1.4885;1.489;1.4921;1.4859;1.4885;1.4882;120
1.4882;1.4886;1.4923;1.4864;1.4883;1.488;115
1.488;1.4891;1.4905;1.4856;1.4888;1.4885;88
1.4885;1.4916;1.4936;1.4874;1.4913;1.491;94
1.491;1.496;1.497;1.491;1.4957;1.4954;71
1.4954;1.4963;1.4979;1.493;1.4962;1.4959;90
1.4959;1.4995;1.5005;1.4938;1.5003;1.5;99
1.5;1.5046;1.506;1.4982;1.5058;1.5055;111
1.5055;1.5014;1.5065;1.4999;1.501;1.5007;92
1.5007;1.5072;1.5072;1.4966;1.5083;1.508;148
1.508;1.5044;1.5096;1.5035;1.5033;1.503;87
1.503;1.5129;1.5135;1.501;1.5128;1.5125;152
1.5125;1.5169;1.5169;1.512;1.5168;1.5165;55
1.5165;1.5164;1.518;1.5108;1.5163;1.516;144
1.516;1.5192;1.5209;1.512;1.519;1.5187;147
1.5187;1.5315;1.5315;1.5177;1.5315;1.5312;149
1.5312;1.521;1.535;1.5114;1.5211;1.5208;371
1.5208;1.5186;1.526;1.515;1.5188;1.5185;199
1.5185;1.5236;1.5236;1.517;1.5233;1.523;82
1.523;1.5212;1.5237;1.511;1.5213;1.521;237
1.521;1.5189;1.523;1.5132;1.5184;1.5181;176
1.5181;1.5175;1.5202;1.515;1.5167;1.5164;99
1.5164;1.528;1.5287;1.516;1.528;1.5277;139
1.5277;1.5289;1.5306;1.5254;1.5284;1.5281;93
1.5281;1.5343;1.5351;1.527;1.534;1.5337;101
1.5337;1.5273;1.536;1.523;1.5281;1.5278;197
1.5278;1.5425;1.5432;1.5277;1.5423;1.542;164
1.542;1.5498;1.5517;1.54;1.5488;1.5485;157
1.5485;1.5491;1.5525;1.544;1.5488;1.5485;165
1.5485;1.5645;1.5709;1.5475;1.5636;1.5633;309
1.5633;1.5825;1.5855;1.559;1.5815;1.5812;339
1.5812;1.5625;1.5843;1.5558;1.5628;1.5625;384
1.5625;1.5665;1.5753;1.547;1.5653;1.565;527
1.565;1.5499;1.5685;1.529;1.5489;1.5486;640
1.5486;1.539;1.554;1.5355;1.5382;1.5379;275
1.5379;1.5388;1.5423;1.5305;1.5373;1.537;228
1.537;1.521;1.54;1.5198;1.5213;1.521;245
1.521;1.5223;1.5245;1.515;1.5215;1.5212;178
1.5212;1.5188;1.5286;1.5175;1.5183;1.518;199
1.518;1.5205;1.528;1.517;1.5202;1.5199;196
1.5199;1.5191;1.5211;1.5082;1.5194;1.5191;251
1.5191;1.514;1.52;1.509;1.5148;1.5145;170
1.5145;1.5052;1.5187;1.5034;1.5057;1.5054;214
1.5054;1.503;1.5085;1.4985;1.5031;1.5028;177
1.5028;1.514;1.5148;1.502;1.5137;1.5134;145
1.5134;1.529;1.5315;1.5134;1.5283;1.528;207
1.528;1.524;1.538;1.5235;1.5244;1.5241;251
1.5241;1.5302;1.5306;1.5181;1.5298;1.5295;190
1.5295;1.53;1.5337;1.5253;1.5298;1.5295;164
1.5295;1.5142;1.5325;1.5126;1.5137;1.5134;246
1.5134;1.5129;1.517;1.5063;1.5128;1.5125;210
1.5125;1.5129;1.5157;1.506;1.5134;1.5131;191
1.5131;1.5093;1.514;1.5079;1.5091;1.5088;85
1.5088;1.5165;1.5165;1.499;1.5162;1.5159;274
1.5159;1.5297;1.5325;1.513;1.5301;1.5298;253
1.5298;1.5481;1.551;1.5266;1.5478;1.5475;306
1.5475;1.5443;1.558;1.5425;1.5447;1.5444;279
1.5444;1.5569;1.562;1.543;1.5569;1.5566;256
1.5566;1.5476;1.561;1.546;1.5473;1.547;211
1.547;1.526;1.5485;1.498;1.525;1.5247;801
1.5247;1.5468;1.55;1.5117;1.5465;1.5462;546
1.5462;1.5435;1.553;1.536;1.5433;1.543;314
1.543;1.541;1.545;1.5285;1.5413;1.541;311
1.541;1.5473;1.552;1.533;1.5467;1.5464;318
1.5464;1.5434;1.552;1.5395;1.5428;1.5425;221
1.5425;1.5381;1.5515;1.537;1.5375;1.5372;247
1.5372;1.5455;1.5495;1.536;1.5448;1.5445;188
1.5445;1.5455;1.552;1.5424;1.5451;1.5448;183
1.5448;1.5378;1.5512;1.5354;1.537;1.5367;247
1.5367;1.5455;1.5575;1.5355;1.5451;1.5448;353
1.5448;1.5441;1.5524;1.5415;1.5434;1.5431;212
1.5431;1.545;1.549;1.542;1.5436;1.5433;122
1.5433;1.5392;1.5483;1.5367;1.5384;1.5381;192
1.5381;1.5435;1.5453;1.537;1.5428;1.5425;113
1.5425;1.5398;1.547;1.5368;1.5388;1.5385;178
1.5385;1.5485;1.552;1.5354;1.5479;1.5476;233
1.5476;1.5435;1.5545;1.5395;1.5441;1.5438;260
1.5438;1.5336;1.5475;1.5295;1.5323;1.532;259
1.532;1.5247;1.5337;1.5219;1.5241;1.5238;164
1.5238;1.52;1.529;1.5165;1.5199;1.5196;213
1.5196;1.5243;1.5257;1.5164;1.5235;1.5232;140
1.5232;1.533;1.5342;1.5194;1.5335;1.5332;199
1.5332;1.535;1.5375;1.5307;1.5343;1.534;119
1.534;1.5445;1.548;1.534;1.542;1.5417;176
1.5417;1.5463;1.5482;1.541;1.5458;1.5455;99
1.5455;1.5458;1.5525;1.5435;1.5458;1.5455;178
1.5455;1.5495;1.5539;1.543;1.5513;1.551;179
1.551;1.5525;1.5578;1.5448;1.5523;1.552;246
1.552;1.5472;1.5556;1.5455;1.5467;1.5464;155
1.5464;1.554;1.5566;1.544;1.5537;1.5534;177
1.5534;1.5485;1.5545;1.546;1.5477;1.5474;122
1.5474;1.547;1.549;1.542;1.5463;1.546;137
1.546;1.5497;1.5507;1.544;1.5493;1.549;98
1.549;1.551;1.553;1.547;1.5498;1.5495;101
1.5495;1.5395;1.552;1.5363;1.5401;1.5398;215
1.5398;1.538;1.542;1.5167;1.5372;1.5369;489
1.5369;1.535;1.5405;1.5306;1.5331;1.5328;180
1.5328;1.5345;1.5377;1.52;1.5342;1.5339;338
1.5339;1.5312;1.536;1.519;1.5305;1.5302;314
1.5302;1.5324;1.54;1.5279;1.5317;1.5314;221
1.5314;1.539;1.54;1.5311;1.5377;1.5374;103
1.5374;1.5355;1.54;1.525;1.5337;1.5334;282
1.5334;1.539;1.5395;1.532;1.5384;1.5381;95
1.5381;1.5445;1.547;1.5355;1.5443;1.544;167
1.544;1.5407;1.5475;1.539;1.5405;1.5402;138
1.5402;1.5402;1.544;1.5345;1.5393;1.539;191
1.539;1.5416;1.546;1.5385;1.5398;1.5395;125
1.5395;1.542;1.543;1.5365;1.5427;1.5424;106
1.5424;1.542;1.5435;1.54;1.5326;1.5323;67
1.5323;1.5277;1.5358;1.5227;1.5273;1.527;2010
1.527;1.5123;1.5292;1.5114;1.513;1.5127;1899
1.5127;1.5118;1.5135;1.5017;1.5123;1.512;2374
1.512;1.5141;1.517;1.5059;1.514;1.5137;2167
1.5137;1.511;1.5155;1.5085;1.5123;1.512;1313
1.512;1.5057;1.5177;1.5039;1.5061;1.5058;1381
1.5058;1.5157;1.5165;1.5052;1.5159;1.5156;2105
1.5156;1.5226;1.547;1.5132;1.523;1.5227;3078
1.5227;1.5332;1.5345;1.5177;1.5334;1.5331;2447
1.5331;1.5245;1.5416;1.524;1.5259;1.5256;2789
1.5256;1.526;1.5295;1.52;1.5258;1.5255;1538
1.5255;1.5302;1.5337;1.5246;1.5299;1.5296;2357
