open;close;high;low;ask;bid;volume
202.5;202.5;202.5;202.5;199.08;199.05;1
199.05;199.05;199.05;199.05;199.73;199.7;1
199.7;199.7;199.7;199.7;201.08;201.05;1
201.05;201.05;201.05;201.05;201.73;201.7;1
201.7;201.7;201.7;201.7;203.03;203;1
203;203;203;203;204.13;204.1;1
204.1;204.1;204.1;204.1;203.33;203.3;1
203.3;203.3;203.3;203.3;203.08;203.05;1
203.05;203.05;203.05;203.05;201.78;201.75;1
201.75;201.75;201.75;201.75;202.93;202.9;1
202.9;202.9;202.9;202.9;202.33;202.3;1
202.3;202.3;202.3;202.3;200.68;200.65;1
200.65;200.65;200.65;200.65;199.23;199.2;1
199.2;199.2;199.2;199.2;200.88;200.85;1
200.85;200.85;200.85;200.85;202.78;202.75;1
202.75;202.75;202.75;202.75;203.58;203.55;1
203.55;203.55;203.55;203.55;202.53;202.5;1
202.5;202.5;202.5;202.5;204.53;204.5;1
204.5;204.5;204.5;204.5;204.63;204.6;1
204.6;204.6;204.6;204.6;206.73;206.7;1
206.7;206.7;206.7;206.7;203.18;203.15;1
203.15;203.15;203.15;203.15;204.08;204.05;1
204.05;204.05;204.05;204.05;202.93;202.9;1
202.9;202.9;202.9;202.9;202.98;202.95;1
202.95;202.95;202.95;202.95;203.83;203.8;1
203.8;203.8;203.8;203.8;203.93;203.9;1
203.9;203.9;203.9;203.9;203.93;203.9;1
203.9;203.9;203.9;203.9;203.93;203.9;1
203.9;203.9;203.9;203.9;207.48;207.45;1
207.45;207.45;207.45;207.45;206.83;206.8;1
206.8;206.8;206.8;206.8;206.58;206.55;1
206.55;206.55;206.55;206.55;206.83;206.8;1
206.8;206.8;206.8;206.8;206.83;206.8;1
206.8;206.8;206.8;206.8;208.08;208.05;1
208.05;208.05;208.05;208.05;207.03;207;1
207;207;207;207;207.33;207.3;1
207.3;207.3;207.3;207.3;207.93;207.9;1
207.9;207.9;207.9;207.9;209.73;209.7;1
209.7;209.7;209.7;209.7;211.13;211.1;1
211.1;211.1;211.1;211.1;208.63;208.6;1
208.6;208.6;208.6;208.6;208.63;208.6;1
208.6;208.6;208.6;208.6;208.93;208.9;1
208.9;208.9;208.9;208.9;209.03;209;1
209;209;209;209;206.03;206;1
206;206;206;206;207.03;207;1
207;207;207;207;207.63;207.6;1
207.6;207.6;207.6;207.6;207.63;207.6;1
207.6;207.6;207.6;207.6;207.58;207.55;1
207.55;207.55;207.55;207.55;207.3;207.27;1
207.27;207.27;207.27;207.27;207.73;207.7;1
207.7;207.7;207.7;207.7;207.63;207.6;1
207.6;207.6;207.6;207.6;208.78;208.75;1
208.75;208.75;208.75;208.75;208.28;208.25;1
208.25;208.25;208.25;208.25;208.63;208.6;1
208.6;208.6;208.6;208.6;208.58;208.55;1
